 day; jour
 done; : effectué
Add/Edit service;Ajouter/Éditer un service
Allowed roles;Rôles autorisés
App icon;Icone
Are you sure \?;Êtes-vous sûr ?
Authentication error;Erreur d'authentification
Browser not compatible;Navigateur incompatible
Close dialog;Fermer
Confirm;Confirmation
Copy;Copier
Cut;Couper
day;jour
Delete;Supprimer
Dismiss;OK
Display in iframe;Afficher dans une iframe
Displayed path in iframe;Chemin affiché dans l'iframe
Download;Télécharger
Duration;Durée
Edit;Éditer
Explorer;Explorateur
Extended sessions;Sessions longues
Geolocation failure;Erreur de géolocalisation
Host name;Url de départ
Login success;Connexion acceptée
Login;Utilisateur
Name;Prénom
New file;Nouveau fichier
New folder;Nouveau dossier
New name;Nouveau nom
No;Non
Operation in progress...;Opération en cours...
Password;Mot de passe
Please allow geolocation to login;Merci d'activer la géolocalisation pour vous connecter
Proxy service;Service proxy
Proxy to (default : http);Url de destination (par défaut : http)
Recipient;Destinataire
Rename;Renommer
Save;Enregistrer
Secured by JWT;Sécurisé par JWT
Served directory;Dossier servi
Server communication error;Erreur de communication avec le serveur
Service display rank;Ordre d'affichage
Service name;Nom du service
Session expired, please login.;Session terminée, veuillez vous reconnecter.
Share;Partager
Show fullscreen;Plein écran
Surname;Nom
The file will be available with the following link for ;Le fichier sera accessible avec le lien suivant pendant 
Toggle theme;Changer les couleurs
Update available;Nouvelle version disponible
Update;Mettre à jour
Upload;Télécharger
Users management;Gestion des utilisateurs
Users updated;Utilisateurs mis à jour
Validate;Valider
Yes;Oui